name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac ZT-60605-10L,NVIDIA,,512.0,810,,167,0,0,GeForce GT 610
Zotac ZT-72SEG7N-HSL,NVIDIA,,256.0,450,,,0,0,GeForce 7200 GS
Zotac AMP Extreme Core,NVIDIA,,4096.0,1228,1380,299,0,1,GeForce GTX 970
Zotac AMP,NVIDIA,,2048.0,1203,1405,208,0,2,GeForce GTX 950
Zotac AMP Omega,NVIDIA,,4096.0,1202,1304,268,0,0,GeForce GTX 980
Zotac GAMING AMP Extreme Holo,NVIDIA,,12288.0,1260,1785,356,0,0,GeForce RTX 3080 12GB LHR
Zotac AMP Extreme Core,NVIDIA,,8192.0,1515,1860,324,0,0,GeForce RTX 2080
Zotac ZT-40502-10L,NVIDIA,,1024.0,875,,187,0,0,GeForce GTS 450
Zotac ZT-61001-10M,NVIDIA,,1024.0,1071,,153,0,0,GeForce GTX 650
Zotac AMP MAXX,NVIDIA,,11264.0,1350,1665,298,0,0,GeForce RTX 2080 Ti
Zotac ZT-61102-10M,NVIDIA,,2048.0,941,,153,0,0,GeForce GTX 650 Ti
Zotac ZT-50701-10M,NVIDIA,,1024.0,820,,209,0,2,GeForce GTX 560
Zotac ZT-40503-10L,NVIDIA,,1024.0,810,,187,0,1,GeForce GTS 450
Zotac AMP Extreme,NVIDIA,,4096.0,1203,1355,300,0,1,GeForce GTX 970
Zotac AMP,NVIDIA,,2048.0,1111,1176,195,0,4,GeForce GTX 760
Zotac ZT-71108-10L,NVIDIA,,4096.0,902,,,0,0,GeForce GT 730
Zotac ZT-50104-10P,NVIDIA,,3072.0,815,,266,0,1,GeForce GTX 580
Zotac ZT-61106-10M,NVIDIA,,1024.0,928,,153,0,0,GeForce GTX 650 Ti
Zotac ZT-96SES3P-FDL,NVIDIA,,512.0,650,,,0,0,GeForce 9600 GSO
Zotac ZT-40102-10P,NVIDIA,,1536.0,756,,,0,0,GeForce GTX 480
Zotac ZT-61002-10M,NVIDIA,,2048.0,1071,,153,0,0,GeForce GTX 650
Zotac ZT-90601-10L,NVIDIA,,2048.0,1089,1266,208,0,2,GeForce GTX 950
Zotac Founders Edition,NVIDIA,,11264.0,1480,1582,267,0,1,GeForce GTX 1080 Ti
Zotac ZT-P10500E-10L,NVIDIA,,2048.0,1354,1455,160,0,0,GeForce GTX 1050
Zotac ZT-60405-10L,NVIDIA,,4096.0,810,,152,0,0,GeForce GT 630
Zotac ZT-90501-10P,NVIDIA,,6144.0,1000,1076,267,0,0,GeForce GTX 980 Ti
Zotac ZT-90401-10P,NVIDIA,,12288.0,1000,1075,282,0,0,GeForce GTX Titan X
Zotac ZT-40707-10L,NVIDIA,,2048.0,810,,144,0,0,GeForce GT 440
Zotac ZT-60501-10L,NVIDIA,,2048.0,700,,152,0,0,GeForce GT 620
Zotac ZT-71202-20L,NVIDIA,,1024.0,797,,145,0,0,GeForce GT 720
Zotac ZT-40406-10P,NVIDIA,,2048.0,710,,,0,1,GeForce GTX 460
Zotac ZT-T20700E-10P,NVIDIA,,8192.0,1410,1620,211,0,0,GeForce RTX 2070
Zotac ZT-70605-10M,NVIDIA,,2048.0,1033,1111,145,0,6,GeForce GTX 750 Ti
Zotac ZT-84GED2M-HSL,NVIDIA,,256.0,520,,167,0,0,GeForce 8400 GS
Zotac ZT-61012-10M,NVIDIA,,1024.0,1058,,153,0,1,GeForce GTX 650
Zotac AMP Omega,NVIDIA,,6144.0,1178,1279,329,0,3,GeForce GTX 980 Ti
Zotac ZT-60403-10L,NVIDIA,,2048.0,810,,144,0,0,GeForce GT 630
